English Word	Is Important	Pronunciation	POS Symbol	Part of Speech	Japanese Translation	Origin	Reference Page
healthy	FALSE	[hélθi]	K	Adjective	健康な	20	20
hear	TRUE	[hiər]	B	Verb	聞こえる, 聞く	48	48
hear from ~	FALSE	—	—	—	〜から便り[電話]をもらう	73	73
heart	TRUE	[hɑːrt]	A	Noun	心, 心臓	1	1
heavy	FALSE	[hévi]	K	Adjective	重い	53	53
hello	TRUE	[helóu]	C	Interjection	やあ, こんにちは	1	1
help	TRUE	[help]	B	Verb	手伝う, 助ける	1	1
help	TRUE	[help]	A	Noun	手伝い	1	1
helpful	FALSE	[hélpfl]	K	Adjective	役に立つ	50	50
help ~ with ...	FALSE	—	—	—	〜(人)の…を手伝う	132	132
hen	FALSE	[hen]	A	Noun	雌鳥	1	1
her	TRUE	[həːr]	E	Pronoun	彼女を[に]	1	1
her	TRUE	[həːr]	K	Adjective	彼女の	1	1
here	TRUE	[hiər]	G	Adverb	ここに[で, へ]	1	1
Here is ~. / Here's ~.	FALSE	—	—	—	ここに〜があります	32	32
Here you are.	FALSE	—	—	—	はい, どうぞ。こちらです。	1	1
hero	FALSE	[híərou]	A	Noun	英雄	32	32
hers	FALSE	[həːrz]	E	Pronoun	彼女のもの	120	120
hi	TRUE	[hai]	C	Interjection	やあ, こんにちは	1	1
high	TRUE	[hai]	K	Adjective	高い	1	1
high school	FALSE	[hái skùːl]	A	Noun	高校	29	29
high-tech	FALSE	[hái ték]	K	Adjective	ハイテクの, 高度な先端技術の	1	1
highlighter	FALSE	[háilàitər]	A	Noun	蛍光ペン	130	130
highway	FALSE	[háiwèi]	A	Noun	幹線道路	75	75
hike	FALSE	[haik]	B	Verb	ハイキングする	55	55
go hiking	FALSE	—	—	—	ハイキングに行く	55	55
hill	TRUE	[hil]	A	Noun	丘	1	1
him	FALSE	[him]	E	Pronoun	彼を[に]	1	1
himself	FALSE	[himsélf]	E	Pronoun	彼自身	1	1
Hiroshima	FALSE	[híːrəʃìmə]	A	Noun	広島	1	1
Hiroshima Peace Memorial (Genbaku Dome)	FALSE	[híːrəʃìmə píːs memɔ́ːriəl (génbɑːkù dóum)]	A	Noun	原爆ドーム	111	111
his	TRUE	[hiz]	K	Adjective	彼の	1	1
his	TRUE	[hiz]	E	Pronoun	彼のもの	1	1
history	TRUE	[hístəri]	A	Noun	歴史	21	21
hit	TRUE	[hit]	B	Verb	打つ	1	1
hit	TRUE	[hit]	A	Noun	(災害・不運などが襲うこと)	94	94
hobby	TRUE	[hάbi]	A	Noun	趣味	1	1
hold	TRUE	[hould]	B	Verb	持つ, つかむ	1	1
hold on	FALSE	—	—	—	(電話を) 切らずに待つ	1	1
hold	TRUE	[hould]	B	Verb	開催する	1	1
holiday	TRUE	[hάlədèi]	A	Noun	休日, 休暇	50	50
home	TRUE	[houm]	A	Noun	家, 家庭	1	1
home	TRUE	[houm]	G	Adverb	家へ[に]	1	1
home economics	FALSE	[hóum ìːkənάmiks]	A	Noun	家庭科	1	1
homework	TRUE	[hóumwə̀ːrk]	A	Noun	宿題	20	20
honest	FALSE	[άnist]	K	Adjective	正直な	1	1
honey	FALSE	[hʌ́ni]	A	Noun	ハチミツ	120	120
hood	FALSE	[hud]	A	Noun	(上着の) フード	52	52
hope	TRUE	[houp]	B	Verb	望む, 希望する	12	12
horn	FALSE	[hɔərn]	A	Noun	角, ホルン	1	1
horrible	FALSE	[hɔ́ːrəbl]	K	Adjective	恐ろしい	1	1
horse	TRUE	[hɔərs]	A	Noun	ウマ	1	1
hospital	TRUE	[hάspitl]	A	Noun	病院	1	1
hot	TRUE	[hɑt]	K	Adjective	熱い, 暑い	1	1
hotel	TRUE	[houtél]	A	Noun	ホテル	132	132
hour	TRUE	[áuər]	A	Noun	1時間, 時間	1	1
house	TRUE	[haus]	A	Noun	家, 住宅	1	1
Houston	FALSE	[hjúːstən]	A	Noun	ヒューストン (米国の都市, NASA の所在地)	125	125
how	TRUE	[hau]	G	Adverb	どのように	1	1
how	TRUE	[hau]	G	Adverb	(方法・手段をたずねて) どうやって, どんなふうに	1	1
how	TRUE	[hau]	G	Adverb	(状態) どんな調子で	1	1
how	TRUE	[hau]	G	Adverb	(程度) どれくらい	1	1
How's it going?	FALSE	—	—	—	調子はどうですか。	1	1
however	FALSE	[hauévər]	G	Adverb	しかしながら	93	93
humid	FALSE	[hjúːmid]	K	Adjective	蒸し暑い	1	1
hundred	FALSE	[hʌ́ndrəd]	K	Adjective	100の	1	1
hungry	TRUE	[hʌ́ŋgri]	K	Adjective	空腹の	1	1
hurt	FALSE	[həːrt]	B	Verb	〜を傷つける	1	1
I	TRUE	[ai]	E	Pronoun	私は[が]	1	1
ice	TRUE	[ais]	A	Noun	氷	1	1
ice cream	TRUE	[áis krìːm]	A	Noun	アイスクリーム	1	1
I'd	FALSE	[aid]	—	—	(I would の短縮形)	80	80
idea	TRUE	[aidíːə]	A	Noun	考え, アイデア	1	1
have no idea	FALSE	—	—	—	わからない	102	102
if	TRUE	[if]	H	Conjunction	もし〜ならば	1	1
I'll	FALSE	[ail]	—	—	(I will の短縮形)	20	20
I'm	FALSE	[aim]	—	—	(I am の短縮形)	1	1
imagine	FALSE	[imǽdʒin]	B	Verb	想像する	71	71
important	TRUE	[impɔ́ːrtnt]	K	Adjective	重要な	1	1
in	TRUE	[in]	D	Preposition	(場所・位置) 〜の中に[で]	1	1
in	TRUE	[in]	D	Preposition	(時) 〜に	1	1
in	TRUE	[in]	D	Preposition	(服装・色など) での, を	1	1
in	TRUE	[in]	D	Preposition	(状態) 〜で	1	1
in fact	FALSE	—	—	—	実は, 実際は	25	25
in order to ~	FALSE	—	—	—	〜するために	1	1
in particular	FALSE	—	—	—	特に	70	70
in those days	FALSE	—	—	—	その当時は	120	120
inconvenience	FALSE	[ìnkənvíːnjəns]	A	Noun	不便	117	117
increase	FALSE	[inkríːs]	B	Verb	増える	1	1
incredible	FALSE	[inkrédəbl]	K	Adjective	信じられない	46	46
India	TRUE	[índiə]	A	Noun	インド	1	1
industrial arts	FALSE	[indʌ́striəl άːrts]	A	Noun	技術家庭科	1	1
information	TRUE	[ìnfərméiʃən]	A	Noun	情報	101	101
ingredient	FALSE	[ingríːdiənt]	A	Noun	(料理の) 材料	42	42
ink	FALSE	[iŋk]	A	Noun	インク	1	1
inner	FALSE	[ínər]	K	Adjective	内部の	46	46
inside	FALSE	[ìnsáid]	D	Preposition	〜の中に[へ]	47	47
inspiration	FALSE	[ìnspəréiʃən]	A	Noun	インスピレーション, ひらめき	80	80
interest	FALSE	[íntərist]	A	Noun	興味	1	1
be interested in ~	FALSE	—	—	—	〜に興味を持っている	21	21
interesting	TRUE	[íntərəstiŋ]	K	Adjective	興味深い, おもしろい	1	1
internet	TRUE	[íntərnèt]	A	Noun	インターネット	1	1
into	TRUE	[íntuː, ìntə]	D	Preposition	〜の中へ	1	1
invent	FALSE	[invént]	B	Verb	発明する	73	73
invention	FALSE	[invénʃən]	A	Noun	発明(品)	80	80
Iraq	FALSE	[irάːk]	A	Noun	イラク	92	92
is	TRUE	[iz]	B	Verb	〜である, 〜にいる [be動詞]	1	1
is	TRUE	[iz]	M	Auxiliary verb	〜である (主語が三人称単数のときの be 動詞現在形)	1	1
island	TRUE	[áilənd]	A	Noun	島	130	130
isn't	FALSE	[íznt]	—	—	(is not の短縮形)	1	1
it	TRUE	[it]	E	Pronoun	それは[が]	1	1
it	TRUE	[it]	E	Pronoun	(天候, 時刻, 距離などを表す)	1	1
it'll	FALSE	[ítl]	—	—	(it will の短縮形)	9	9
its	TRUE	[its]	K	Adjective	その	1	1
Jackson	FALSE	[dʒǽksn]	A	Noun	ジャクソン (姓)	1	1
jam	TRUE	[dʒæm]	A	Noun	ジャム	1	1
January	TRUE	[dʒǽnjuèri]	A	Noun	1月	1	1
Japan	TRUE	[dʒəpǽn]	A	Noun	日本	15	15
Japanese	TRUE	[dʒæ̀pəníːz]	K	Adjective	日本の, 日本人の	1	1
Japanese	TRUE	[dʒæ̀pəníːz]	A	Noun	日本人, 日本語	1	1
Japanese apricot	FALSE	[dʒæ̀pəníːz éiprikὰt]	A	Noun	ウメ	1	1
J. C. Smith	FALSE	[dʒéi síː smíθ]	A	Noun	J. C. スミス (架空の人名)	29	29
jealous	FALSE	[dʒéləs]	K	Adjective	うらやましい	1	1
jellyfish	FALSE	[dʒélifìʃ]	A	Noun	クラゲ	1	1
Jennifer	FALSE	[dʒénəfər]	A	Noun	ジェニファー (女子の名)	1	1
jet lag	FALSE	[dʒét læ̀g]	A	Noun	時差ぼけ	1	1
job	TRUE	[dʒɑb]	A	Noun	仕事	32	32
Good job.	FALSE	—	—	—	よくやったね。	32	32
jogging	FALSE	[dʒάgiŋ]	A	Noun	ジョギング	129	129
go jogging	FALSE	—	—	—	ジョギングに行く	129	129
John	TRUE	[dʒɑn]	A	Noun	ジョン (男子の名)	1	1
join	TRUE	[dʒɔin]	B	Verb	参加する, 加わる	1	1
joke	FALSE	[dʒouk]	A	Noun	冗談	125	125
Jose	FALSE	[houzéi]	A	Noun	ホセ (男子の名)	1	1
journey	FALSE	[dʒə́ːrni]	A	Noun	(陸路の長い) 旅行, (比喩的に) 日本人が作る・作曲・演奏する〜	1	1
juice	TRUE	[dʒuːs]	A	Noun	ジュース	1	1
Judy	FALSE	[dʒúːdi]	A	Noun	ジュディ (女子の名)	1	1
July	TRUE	[dʒulái]	A	Noun	7月	1	1
jump	TRUE	[dʒʌmp]	B	Verb	跳ぶ	1	1
June	TRUE	[dʒuːn]	A	Noun	6月	1	1
junior	FALSE	[dʒúːnjər]	K	Adjective	年下の	1	1
junior high school	FALSE	[dʒúːnjər hái skùːl]	A	Noun	中学校	1	1
just	TRUE	[dʒʌst]	G	Adverb	ちょうど, たった今	50	50
Just a moment.	FALSE	—	—	—	ちょっと待ってください	125	125
kangaroo	FALSE	[kæ̀ŋgərúː]	A	Noun	カンガルー	1	1
Kate	FALSE	[keit]	A	Noun	ケイト (女子の名)	1	1
keep	TRUE	[kiːp]	B	Verb	保つ, 持ち続ける	12	12
keep in touch	FALSE	—	—	—	連絡を保つ	113	113
Ken	TRUE	[ken]	A	Noun	ケン (男子の名)	1	1
Kent	FALSE	[kent]	A	Noun	ケント (男子の名)	1	1
Kenya	FALSE	[kénjə]	A	Noun	ケニア	1	1
kept	FALSE	[kept]	B	Verb	(keep の過去形・過去分詞)	1	1
key	FALSE	[kiː]	A	Noun	カギ	131	131
keyboard	FALSE	[kíːbɔ̀ːrd]	A	Noun	キーボード	20	20
kick	FALSE	[kik]	B	Verb	ける	1	1
kid	FALSE	[kid]	A	Noun	子ども	1	1
Just kidding.	FALSE	—	—	—	冗談だよ。	1	1
You're kidding.	FALSE	—	—	—	まさか。冗談でしょう。	11	11
kilometer	FALSE	[kilάmətər]	A	Noun	キロメートル	1	1
kind	TRUE	[kaind]	K	Adjective	親切な	1	1
kind	TRUE	[kaind]	A	Noun	種類	46	46
many kinds of ~	FALSE	—	—	—	たくさんの種類の〜	1	1
kindly	FALSE	[káindli]	G	Adverb	親切に	69	69
king	FALSE	[kiŋ]	A	Noun	王	1	1
kitchen	TRUE	[kítʃin]	A	Noun	台所	109	109
kiwi	FALSE	[kíːwi]	A	Noun	キウイ	1	1
kiwi fruit	FALSE	[kíːwi frùːt]	A	Noun	キウイフルーツ	1	1
knew	FALSE	[njuː]	B	Verb	(know の過去形)	47	47
know	TRUE	[nou]	B	Verb	知っている, わかる	1	1
You know, ~.	FALSE	—	—	—	ご存じでしょうが, 〜	1	1
known	FALSE	[noun]	B	Verb	(know の過去分詞)	1	1
koala	FALSE	[kouάːlə]	A	Noun	コアラ	108	108
Kumi	TRUE	[kúmi]	A	Noun	久美 (女子の名)	1	1
lady	FALSE	[léidi]	A	Noun	婦人, 女の人	1	1
lake	TRUE	[leik]	A	Noun	湖	1	1
land	FALSE	[lænd]	A	Noun	陸地	1	1
land	FALSE	[lænd]	B	Verb	上陸する	1	1
language	TRUE	[lǽŋgwidʒ]	A	Noun	言語, ことば	1	1
large	TRUE	[lɑːrdʒ]	K	Adjective	大きい, 広い	1	1
last	TRUE	[læst]	G	Adverb	(この) 前の	73	73
last	TRUE	[læst]	K	Adjective	最後の	1	1
last	TRUE	[læst]	B	Verb	続く	93	93
at last	FALSE	—	—	—	ついに	126	126
last	TRUE	[læst]	G	Adverb	最後に	1	1
late	TRUE	[leit]	G	Adverb	遅く, 遅れて	107	107
late	TRUE	[leit]	K	Adjective	遅い, 遅刻した	1	1
later	FALSE	[léitər]	G	Adverb	あとで, 後に	129	129
laugh	TRUE	[læf]	B	Verb	(声を出して) 笑う	1	1
laundry	FALSE	[lɔ́ːndri]	A	Noun	洗濯物	132	132
lazy	FALSE	[léizi]	K	Adjective	怠惰な	25	25
lead	FALSE	[liːd]	B	Verb	導く	79	79
learn	TRUE	[ləːrn]	B	Verb	学ぶ, 習う	1	1
learned	FALSE	[ləːrnd]	K	Adjective	学識のある	51	51
leave	TRUE	[liːv]	B	Verb	去る, 出発する, 置いていく, 残していく	1	1
leave	TRUE	[liːv]	A	Noun	休暇	1	1
led	FALSE	[led]	B	Verb	(lead の過去形・過去分詞)	79	79
left	FALSE	[left]	B	Verb	(leave の過去形・過去分詞)	47	47
left	FALSE	[left]	K	Adjective	左の	1	1
leg	FALSE	[leg]	A	Noun	(人の) 脚, (家具の) 脚	18	18
lemon	FALSE	[lémən]	A	Noun	レモン	1	1
lemonade	FALSE	[lèmənéid]	A	Noun	レモネード	1	1
lend	FALSE	[lend]	B	Verb	貸す	66	66
less	FALSE	[les]	G	Adverb	(〜より) 少なく	36	36
lesson	TRUE	[lésn]	A	Noun	授業, レッスン	1	1
let	FALSE	[let]	B	Verb	〜させる	1	1
Let's ~.	FALSE	—	—	—	〜しましょう	1	1
letter	TRUE	[létər]	A	Noun	文字	1	1
letter	TRUE	[létər]	A	Noun	手紙	83	83
library	TRUE	[láibrèri]	A	Noun	図書館	1	1
lid	FALSE	[lid]	A	Noun	ふた	79	79
lie	FALSE	[lai]	A	Noun	うそ	1	1
life	TRUE	[laif]	A	Noun	生命, 人生	33	33
lift	FALSE	[lift]	B	Verb	持ち上げる	64	64
light	TRUE	[lait]	A	Noun	光, 明かり	1	1
light	TRUE	[lait]	K	Adjective	(音が) はっきりした	43	43
light	TRUE	[lait]	K	Adjective	明るい	80	80
like	TRUE	[laik]	B	Verb	〜が好きである, 〜を好む	1	1
like	TRUE	[laik]	D	Preposition	〜のように[な], 〜に似ている	1	1
Lin	FALSE	[lin]	A	Noun	リン (女子の名)	1	1
line	TRUE	[lain]	A	Noun	線, 列	1	1
lion	FALSE	[láiən]	A	Noun	ライオン	1	1
Lion Queen	FALSE	[láiən kwíːn]	A	Noun	ライオンクイーン (架空の映画のタイトル)	109	109
Lisa White	FALSE	[líːsə hwáit]	A	Noun	リサ=ホワイト (架空の人名, リサは女子の名)	1	1
list	FALSE	[list]	A	Noun	リスト, 一覧表	1	1
listen	TRUE	[lísn]	B	Verb	聞く, 耳を傾ける	1	1
listener	FALSE	[lísnər]	A	Noun	聞き手	1	1
little	TRUE	[lítl]	K	Adjective	小さい	1	1
a little	FALSE	—	—	—	少し	1	1
live	TRUE	[liv]	B	Verb	住んでいる	1	1
live	TRUE	[liv]	B	Verb	生きている	81	81
living	FALSE	[líviŋ]	K	Adjective	生きている	1	1
local	FALSE	[lóukl]	K	Adjective	地方の, 現地の	12	12
London	TRUE	[lʌ́ndən]	A	Noun	ロンドン (英国の首都)	57	57
lonely	FALSE	[lóunli]	K	Adjective	さびしい	77	77
long	TRUE	[lɔːŋ]	K	Adjective	長い	1	1
long time	FALSE	—	—	—	長い間	46	46
look	TRUE	[luk]	B	Verb	見る, 目を向ける	1	1
look at ~	FALSE	—	—	—	〜を見る	1	1
look for ~	FALSE	—	—	—	〜を探す	1	1
look forward to ~	FALSE	—	—	—	〜を楽しみに待つ	36	36
look like ~	FALSE	—	—	—	〜のように見える	1	1
lose	FALSE	[luːz]	B	Verb	失う, 負ける	111	111
lost	FALSE	[lɔːst]	B	Verb	(lose の過去形・過去分詞)	125	125
lost	FALSE	[lɔːst]	K	Adjective	道に迷った	1	1
lot	FALSE	[lɑt]	A	Noun	多くのこと[もの], 多数, 大量	1	1
a lot	FALSE	—	—	—	たくさん, 大いに	1	1
a lot of ~	FALSE	—	—	—	たくさんの〜	1	1
lots of ~	FALSE	—	—	—	たくさんの〜	79	79
loud	FALSE	[laud]	K	Adjective	(声が) 大きい, そうぞうしい	59	59
love	TRUE	[lʌv]	B	Verb	愛する, 大好きである	1	1
lovely	FALSE	[lʌ́vli]	K	Adjective	美しい, すてきな	1	1
low	TRUE	[lou]	K	Adjective	低い	29	29
luck	TRUE	[lʌk]	A	Noun	幸運	1	1
lucky	TRUE	[lʌ́ki]	K	Adjective	幸運な	1	1
Lucy	FALSE	[lúːsi]	A	Noun	ルーシー (女子の名)	1	1
Luffy	FALSE	[lʌ́fi]	A	Noun	ルフィ (男子の名)	1	1
lunch	TRUE	[lʌntʃ]	A	Noun	昼食	1	1
machine	FALSE	[məʃíːn]	A	Noun	機械, 器具	64	64
made	FALSE	[meid]	B	Verb	(make の過去形・過去分詞)	1	1
magic	FALSE	[mǽdʒik]	A	Noun	魔法	85	85
magic	FALSE	[mǽdʒik]	K	Adjective	魔法の	88	88
mail	TRUE	[meil]	A	Noun	郵便	1	1
make	TRUE	[meik]	B	Verb	作る	1	1
make ~ A	FALSE	—	—	—	〜をA(の状態)にする	113	113
make it	FALSE	—	—	—	間に合う, うまくいく	59	59
make use of ~	FALSE	—	—	—	〜を利用する	71	71
mammal	FALSE	[mǽməl]	A	Noun	ほ乳類	1	1
man	TRUE	[mæn]	A	Noun	男性, 男の人	102	102
mandarin orange	FALSE	[mǽndərin ɔ́ːrindʒ]	A	Noun	ミカン	1	1
mango	FALSE	[mǽŋgou]	A	Noun	マンゴー	1	1
manner	FALSE	[mǽnər]	A	Noun	行儀, 作法	1	1
many	TRUE	[méni]	K	Adjective	多くの, たくさんの	25	25
map	TRUE	[mæp]	A	Noun	地図	1	1
marathon	FALSE	[mǽrəθὰn]	A	Noun	マラソン	1	1
March	TRUE	[mɑːrtʃ]	A	Noun	3月	1	1
marine biologist	FALSE	[məríːn baiάlədʒist]	A	Noun	海洋生物学者	120	120
Mark	FALSE	[mɑːrk]	A	Noun	マーク (男子の名)	1	1
marker pen	FALSE	[mάːrkər pèn]	A	Noun	マーカーペン	130	130
market	TRUE	[mάːrkit]	A	Noun	市場	1	1
mascot	FALSE	[mǽskɑt]	A	Noun	マスコット	115	115
material	FALSE	[mətíəriəl]	A	Noun	材料, 原料	1	1
math	TRUE	[mæθ]	A	Noun	数学 (＝mathematics)	88	88
matter	FALSE	[mǽtər]	A	Noun	事柄, 問題	1	1
What's the matter?	FALSE	—	—	—	どうしたのですか	1	1
May	TRUE	[mei]	A	Noun	5月	1	1
may	FALSE	[mei]	M	Auxiliary verb	〜してもよい	50	50
may	FALSE	[mei]	M	Auxiliary verb	〜かもしれない	128	128
May I ~?	FALSE	—	—	—	〜してもよろしいですか	1	1
maybe	TRUE	[méibi]	G	Adverb	たぶん, おそらく	15	15
mayonnaise	FALSE	[mèiənéiz]	A	Noun	マヨネーズ	1	1
me	TRUE	[miː]	E	Pronoun	私を[に]	1	1
me	TRUE	[miː]	E	Pronoun	(文の終わりに) 私も	86	86
meal	FALSE	[miːl]	A	Noun	食事	1	1
mean	FALSE	[miːn]	B	Verb	意味する, 意図する	1	1
meaning	FALSE	[míːniŋ]	A	Noun	意味	1	1
mechanical pencil	FALSE	[mikǽnikl pénsl]	A	Noun	シャープペンシル	130	130
medical	FALSE	[médikl]	K	Adjective	医学の, 医療の	1	1
medium	FALSE	[míːdiəm]	G	Adverb	中間の	1	1
meet	TRUE	[miːt]	B	Verb	会う	61	61
meet	TRUE	[miːt]	B	Verb	(要求など) に応じる, 達成する	93	93
Nice to meet you.	FALSE	—	—	—	はじめまして (初対面のあいさつ)	1	1
Meg	FALSE	[meg]	A	Noun	メグ (女子の名)	18	18
melon	FALSE	[mélən]	A	Noun	メロン	1	1
member	TRUE	[mémbər]	A	Noun	メンバー, 一員	1	1
memorial	FALSE	[məmɔ́ːriəl]	K	Adjective	記念の	1	1
memory	FALSE	[méməri]	A	Noun	記憶, 思い出	126	126
menu	TRUE	[ménjuː]	A	Noun	メニュー, 献立(表)	1	1
message	TRUE	[mésidʒ]	A	Noun	伝言, 通信文	46	46
met	FALSE	[met]	B	Verb	(meet の過去形・過去分詞)	63	63
meter	FALSE	[míːtər]	A	Noun	メートル	66	66
Mexico	TRUE	[méksikòu]	A	Noun	メキシコ	1	1
mice	FALSE	[mais]	A	Noun	(mouse の複数形)	105	105
midfielder	FALSE	[mídfìːldər]	A	Noun	ミッドフィールダー (サッカーで)	1	1
midnight	FALSE	[mídnàit]	A	Noun	真夜中, 夜半	1	1
midterm	FALSE	[mídtə̀ːrm]	K	Adjective	中間の	1	1
midterm examination	FALSE	[mídtə̀ːrm igzæ̀mənéiʃən]	A	Noun	中間試験	1	1
Mike	TRUE	[maik]	A	Noun	マイク (男子の名)	1	1
mild	FALSE	[maild]	K	Adjective	温暖な	117	117
milk	TRUE	[milk]	A	Noun	牛乳, ミルク	1	1
million	FALSE	[míljən]	K	Adjective	100万の	113	113
mind	FALSE	[maind]	A	Noun	心, 精神	48	48
mine	FALSE	[main]	E	Pronoun	私のもの	1	1
mineral water	FALSE	[mínərəl wɔ́ːtər]	A	Noun	ミネラルウォーター	117	117
minus	FALSE	[máinəs]	G	Adverb	マイナスの	29	29
minute	TRUE	[mínit]	A	Noun	分, 少しの間	1	1
Mira Fish Market	FALSE	[míːrə fíʃ mάːrkit]	A	Noun	ミラ・フィッシュマーケット (架空の魚市場の名)	43	43
mirror	FALSE	[mírər]	A	Noun	鏡	1	1
miso	FALSE	[míːsou]	A	Noun	みそ(味噌)	15	15
mispronounced	FALSE	[mìsprənáunst]	K	Adjective	発音を誤った	1	1
Miss	TRUE	[mis]	A	Noun	〜さん, 〜先生	30	30
mistake	FALSE	[mistéik]	A	Noun	間違い	69	69
by mistake	FALSE	—	—	—	誤って, 間違って	69	69
mmm	FALSE	[mː]	C	Interjection	うーん (考えたり迷ったりしているときに発する声)	1	1
model	FALSE	[mάdl]	A	Noun	模型, 手本	108	108
mom	TRUE	[mɑm]	A	Noun	ママ, お母さん (＝mommy)	1	1
moment	FALSE	[móumənt]	A	Noun	瞬間	50	50
Just a moment.	FALSE	—	—	—	ちょっと待ってください。	50	50
Monday	TRUE	[mʌ́ndei]	A	Noun	月曜日	1	1
money	TRUE	[mʌ́ni]	A	Noun	お金	18	18
monster	FALSE	[mάnstər]	A	Noun	怪獣, モンスター	1	1
month	TRUE	[mʌnθ]	A	Noun	月, ひと月	1	1
Montreal	FALSE	[mὰntriɔ́ːl]	A	Noun	モントリオール (カナダの都市)	29	29
monument	FALSE	[mάnjəmənt]	A	Noun	記念碑	112	112
moon	TRUE	[muːn]	A	Noun	月	1	1
moral	FALSE	[mɔ́ːrəl]	K	Adjective	道徳(上)の	125	125
more	TRUE	[mɔər]	K	Adjective	もっと多くの	1	1
more	TRUE	[mɔər]	G	Adverb	(副詞・形容詞の前に置いて比較級を作る) もっと〜	76	76
more	TRUE	[mɔər]	G	Adverb	より多く	1	1
morning	TRUE	[mɔ́ːrniŋ]	A	Noun	朝, 午前	1	1
most	FALSE	[moust]	K	Adjective	たいていの	113	113
most	FALSE	[moust]	G	Adverb	(副詞・形容詞の前に置いて最上級を作る) もっとも〜	1	1
most	FALSE	[moust]	E	Pronoun	大部分	126	126
make the most of ~	FALSE	—	—	—	〜を最大限に活用する	113	113
mother	TRUE	[mʌ́ðər]	A	Noun	母, お母さん	1	1
Mother's Day	FALSE	[mʌ́ðərz dèi]	A	Noun	母の日	71	71
mouse	FALSE	[maus]	A	Noun	ハツカネズミ	47	47
move	TRUE	[muːv]	B	Verb	動く, 移動する	1	1
move	TRUE	[muːv]	B	Verb	引っ越す	80	80
movie	TRUE	[múːvi]	A	Noun	映画	1	1
movie star	FALSE	[múːvi stὰːr]	A	Noun	映画スター	1	1
Mr.	TRUE	[místər]	A	Noun	〜さん, 〜先生 (男性に対する敬称)	1	1
Ms.	TRUE	[miz]	A	Noun	〜さん, 〜先生 (女性に対する敬称)	1	1
Mt.	FALSE	[maunt]	A	Noun	〜山 (山の名に用いて)	1	1
much	TRUE	[mʌtʃ]	K	Adjective	多くの	1	1
much	TRUE	[mʌtʃ]	G	Adverb	たいへん, とても	13	13
How much ...?	FALSE	—	—	—	〜はいくらですか	1	1
very much	FALSE	—	—	—	とても	1	1
museum	TRUE	[mjuːzíːəm]	A	Noun	博物館, 美術館	1	1
music	TRUE	[mjúːzik]	A	Noun	音楽	99	99
must	FALSE	[mʌst, məst]	M	Auxiliary verb	〜しなければならない	1	1
mustn't	FALSE	[mʌ́snt]	—	—	(must not の短縮形)	52	52
my	TRUE	[mai]	K	Adjective	私の	1	1
myself	FALSE	[maisélf]	E	Pronoun	私自身	1	1
name	TRUE	[neim]	A	Noun	名前	1	1
name	TRUE	[neim]	B	Verb	名づける	71	71
Nara	TRUE	[nάːrə]	A	Noun	奈良	129	129
narrow	FALSE	[nǽrou]	K	Adjective	狭い	81	81
NASA	FALSE	[nǽsə]	A	Noun	米国航空宇宙局 (National Aeronautics and Space Administration)	125	125
national	FALSE	[nǽʃənl]	K	Adjective	国の	24	24
nature	FALSE	[néitʃər]	A	Noun	自然	1	1
naughty	FALSE	[nɔ́ːti]	K	Adjective	いたずらな	1	1
navy blue	FALSE	[néivi blúː]	K	Adjective	濃紺(の)	130	130
near	TRUE	[niər]	D	Preposition	〜の近くに	1	1
near	TRUE	[niər]	G	Adverb	近くに	93	93
necessary	FALSE	[nésəsèri]	K	Adjective	必要な	1	1
neck	TRUE	[nek]	A	Noun	首	1	1
need	TRUE	[niːd]	B	Verb	必要とする	37	37
neither	FALSE	[níːðər]	G	Adverb	どちらも〜ない	111	111
nervous	FALSE	[nə́ːrvəs]	K	Adjective	緊張した	1	1
Netherlands	FALSE	[néðərləndz]	A	Noun	オランダ (正式の国名)	70	70
never	TRUE	[névər]	G	Adverb	決して〜ない, 今までに一度も〜ない	1	1
new	TRUE	[njuː]	K	Adjective	新しい	1	1
New York	TRUE	[njúː jɔ́ːrk]	A	Noun	ニューヨーク (米国北東部の州名･都市名)	1	1
New Zealand	TRUE	[njúː zíːlənd]	A	Noun	ニュージーランド	48	48
news	TRUE	[njuːz]	A	Noun	知らせ, ニュース	1	1
newspaper	TRUE	[njúːspèipər]	A	Noun	新聞	1	1
next	TRUE	[nekst]	K	Adjective	次の, 今度の	1	1
next	TRUE	[nekst]	G	Adverb	次に, となりに	1	1
next to ~	FALSE	—	—	—	〜の隣に	1	1
Niagara Falls	FALSE	[naiǽgərə fɔ́ːlz]	A	Noun	ナイアガラの滝	29	29
nice	TRUE	[nais]	K	Adjective	よい, すてきな	1	1
night	TRUE	[nait]	A	Noun	夜	1	1
last night	FALSE	—	—	—	昨夜	1	1
nighttime	FALSE	[náittàim]	A	Noun	夜間	105	105
nine	TRUE	[nain]	K	Adjective	9の	1	1
nineteen	FALSE	[nàintíːn]	K	Adjective	19の	1	1
nineteenth	FALSE	[nàintíːnθ]	K	Adjective	19番目の	1	1
ninth	FALSE	[nainθ]	K	Adjective	9番目の	1	1
ninety	FALSE	[náinti]	K	Adjective	90の	1	1
no	TRUE	[nou]	K	Adjective	少しの〜もない	1	1
no	TRUE	[nou]	G	Adverb	いいえ	1	1
No, thank you.	FALSE	—	—	—	いいえ, けっこうです (誘いや申し出をていねいに断る)	1	1
no one	FALSE	—	—	—	だれも〜ない	1	1
